Modelo,Período de Producción (Aprox.),Unidades Fabricadas (Aprox.),Notas
350 GT,1964–1966,120,Primer modelo de producción
400 GT,1966–1968,247,Evolución del 350 GT
Islero,1968–1969,225,Gran Turismo 2+2 (incluye Islero S)
Espada,1968–1978,1217,GT de cuatro plazas más exitoso de la época
Jarama,1970–1976,328,GT 2+2 (incluye Jarama S/GTS)
Urraco,1972–1979,791,Deportivo V8 de motor central
Silhouette,1976–1979,54,Deportivo Targa basado en el Urraco
Jalpa,1981–1988,410,Sucesor del Silhouette el último V8 antes del Huracán
LM002 (SUV original),1986–1993,328,Primer "Super SUV" todoterreno
Miura,1966–1972,764,El primer superdeportivo de motor central
Countach,1974–1990,2042,Incluye todas las variantes principales
Diablo,1990–2001,2884,Incluye todas las variantes principales
Murciélago,2001–2010,4099,Incluye todas las variantes principales
Gallardo,2003–2013,14022,El modelo más producido antes del Urus
Aventador,2011–2022,11465,Producción finalizada en 2022
Huracán,2014–2024,26171,Producción finalizada en 2024 (cifra final)
Urus,2018–Actualidad,20000,Sigue en producción; hito de 20.000 unidades en 2022
Revuelto,2023–Actualidad,1400,Sucesor híbrido del Aventador (recién lanzado)
Reventón (Total),2007–2009,35,Edición limitada basada en Murciélago (20 Coupés 15 Roadsters)
Sesto Elemento,2011–2012,20,Solo para circuito
Veneno (Total),2013–2014,13,Modelo solicitado (4 Coupés (1 fábrica) 9 Roadsters)
Centenario (Total),2016–2017,40,Edición 100 aniversario de Ferruccio (20 Coupés 20 Roadsters)
Sián FKP 37 (Total),2019–2021,82,Primer híbrido (63 Coupés 19 Roadsters)
Countach LPI 800-4,2021–2022,112,Edición limitada de homenaje